Week,Display,EndCap,PriceChange,TV,Facebook,Twitter,Amazon,Audio,Print,Digital_AO,sales
1/1/17,27.63,54.41,0,18918856,15572499,256513,789289,0,0,6715999,430447.6
1/8/17,28.84,54.00,0,0,19619339,154474,3365996,0,0,1718752,431072
1/15/17,31.67,58.35,0,0,0,229481,0,0,0,248176,375697.6
1/22/17,32.53,57.90,0,26947686,11375713,160959,0,0,0,508693,429284.1
1/29/17,28.14,53.30,0,0,10840061,0,0,0,0,0,400453.1
2/5/17,27.96,53.81,0,0,0,0,0,0,0,0,377105.9
2/12/17,28.90,53.59,0,0,0,0,0,0,0,0,345204.3
2/19/17,31.26,54.08,0,0,0,0,0,0,0,0,333811.6
2/26/17,28.87,57.03,0,19936795,982881,285785,0,3684016,0,116764,391844.4
3/5/17,27.79,56.83,0,44040657,17582888,321615,0,0,0,182420,514219.7
3/12/17,30.91,56.43,0,21096141,12881101,281576,0,0,0,54291,463192.7
3/19/17,29.00,57.61,0,0,0,0,0,0,0,0,386181.7
3/26/17,30.37,55.75,0,5983864,9141334,81939,0,0,0,0,389832.5
4/2/17,30.65,55.86,0,9775532,0,0,0,0,567393,5080,391610.5
4/9/17,31.69,54.88,0,47570249,27063665,212812,0,0,656454,62991,526563.9
4/16/17,31.59,55.91,0,0,0,0,0,0,0,0,393219.2
4/23/17,29.88,56.94,0,0,0,0,0,0,0,0,371079
4/30/17,29.46,54.48,0,0,0,0,0,0,0,0,367340.3
5/7/17,27.28,53.15,0,0,3741428,157429,1329540,0,0,1628188,358474.3
5/14/17,29.28,55.53,0,23681520,15352996,94085,0,0,0,5298272,431449.2
5/21/17,28.17,55.23,0,24445885,3685181,99592,904569,0,0,1944869,449033.5
5/28/17,29.26,53.86,0,0,0,0,0,0,0,1488756,397352
6/4/17,30.77,56.01,0,37018070,607843,550315,2283646,0,0,135080,449448.2
6/11/17,29.78,58.04,0,25332396,9366572,390414,1191529,0,0,211033,442096.6
6/18/17,30.41,58.09,0,19370014,8147838,442981,0,0,0,119867,441486.1
6/25/17,31.31,56.41,0,0,0,0,0,0,0,0,395164.8
7/2/17,26.88,51.44,0,0,0,0,0,0,0,0,351699.9
7/9/17,29.57,54.82,0,29846271,24312496,451073,6295835,0,627266,39996,461199.3
7/16/17,31.65,57.19,0,9128105,19334854,339660,13323053,0,598566,151449,454998.8
7/23/17,28.33,53.83,0,0,0,0,0,0,0,0,391577.6
7/30/17,28.83,56.75,0,0,6109473,0,0,0,2534809,0,375104.6
8/6/17,27.82,56.43,0,0,2629097,447960,994763,0,0,0,350438.8
8/13/17,30.79,58.02,0,0,7456555,520713,887257,0,0,0,373318.3
8/20/17,29.34,54.50,0,0,0,0,0,0,0,0,371309.3
8/27/17,28.60,53.29,0,29122042,18445890,257171,10628577,0,694187,171449,451846.7
9/3/17,26.40,52.56,0,0,0,0,0,0,0,0,371933
9/10/17,28.14,55.21,0,37114794,22269904,102350,0,0,0,2161280,490952.8
9/17/17,31.17,57.11,0,0,8212788,89592,0,0,0,1438370,424423.7
9/24/17,27.62,53.87,0,0,7376974,0,1065866,0,0,0,379816.1
10/1/17,31.16,58.11,0,0,0,0,0,0,0,0,346434.4
10/8/17,30.35,56.13,0,0,0,0,0,0,0,0,342816.7
10/15/17,27.10,51.16,0,0,0,0,0,0,0,0,348391.4
10/22/17,28.66,54.30,0,33798735,12941924,0,0,0,2643227,0,442864.5
10/29/17,28.18,56.93,0,0,0,0,0,0,0,0,375727.5
11/5/17,30.63,53.34,0,0,1994461,0,0,0,0,0,360298.2
11/12/17,29.50,53.54,0,24640453,12073811,56574,0,0,0,332505,437128.3
11/19/17,28.50,57.33,0,24615474,19382662,171528,4223243,0,0,3887907,477457.9
11/26/17,31.16,55.92,0,0,0,0,0,0,0,0,382211
12/3/17,28.20,53.13,0,0,0,0,0,0,0,0,359553.4
12/10/17,28.33,56.56,0,28747771,10061013,257788,4572876,0,0,178592,448425
12/17/17,31.56,56.49,0,19842676,2534593,242443,5844,0,0,534773,434921.4
12/24/17,29.97,57.17,0,0,5442658,144864,0,4951777,0,801096,382621.1
12/31/17,29.89,56.50,0,22030567,8160212,155383,0,0,0,70618,422993.3
